year,cityid,g_private,reform,reformyear
2011,12,0.1401836,0,2014
2012,12,0.0798113,0,2014
2013,12,-0.0593062,0,2014
2014,12,0,1,2014
2015,12,0.1242942,1,2014
2016,12,0.1997208,1,2014
2017,12,0.6261865,1,2014
2018,12,0.1205133,1,2014
2004,13,0.1471268,0,2015
2005,13,0.0058304,0,2015
2006,13,0.4300548,0,2015
2007,13,0.319952,0,2015
2008,13,0.6261865,0,2015
2009,13,-0.2433367,0,2015
2010,13,-0.2630836,0,2015
2011,13,0.1165013,0,2015
2012,13,0.0881537,0,2015
2013,13,0.0909643,0,2015
2014,13,0.0402158,0,2015
2015,13,0.1471268,1,2015
2016,13,0.1471268,1,2015
2017,13,0.1471268,1,2015
2018,13,0.4069559,1,2015
2004,14,0.0372095,0,2017
2005,14,0.0392438,0,2017
2006,14,0.2371593,0,2017
2007,14,0.022266,0,2017
2008,14,0.012059,0,2017
2009,14,-0.0033291,0,2017
2010,14,-0.0024742,0,2017
2011,14,-0.0018716,0,2017
2012,14,0.0111939,0,2017
2013,14,0.0434982,0,2017
2014,14,0.0009634,0,2017
2015,14,0.0505962,0,2017
2016,14,0.0372095,0,2017
2017,14,0.0372095,1,2017
2018,14,0.0372095,1,2017
2004,15,0.0995639,0,2017
2005,15,0.0686098,0,2017
2006,15,-0.2630836,0,2017
2007,15,0.1494328,0,2017
2008,15,0.1469373,0,2017
2009,15,0.0406647,0,2017
2010,15,0.3894037,0,2017
2011,15,-0.0731011,0,2017
2012,15,0.3849036,0,2017
2013,15,0.2380185,0,2017
2014,15,0.0679941,0,2017
2015,15,0.1062723,0,2017
2016,15,-0.0176508,0,2017
2017,15,0.0926621,1,2017
2018,15,0.0628306,1,2017
2004,16,0.0888777,0,2014
2005,16,-0.0282892,0,2014
2006,16,-0.0079991,0,2014
2007,16,0.1987722,0,2014
2008,16,0.1055549,0,2014
2009,16,0.1483602,0,2014
2010,16,0.2422172,0,2014
2011,16,0.2725587,0,2014
2012,16,-0.0016417,0,2014
2013,16,0.1235111,0,2014
2014,16,-0.1192957,1,2014
2015,16,0.0439065,1,2014
2016,16,0.0888777,1,2014
2017,16,0.0888777,1,2014
2018,16,0.0888777,1,2014
2004,17,0.0697694,0,2014
2005,17,-0.2185878,0,2014
2006,17,0.165053,0,2014
2007,17,0.4157852,0,2014
2008,17,0.0362356,0,2014
2009,17,0.1836186,0,2014
2010,17,0.1129499,0,2014
2011,17,0.122259,0,2014
2012,17,-0.0164229,0,2014
2013,17,0.0176466,0,2014
2014,17,0.0426231,1,2014
2015,17,0.0305883,1,2014
2016,17,-0.0575745,1,2014
2017,17,0.0415432,1,2014
2018,17,0.1010544,1,2014
2004,18,0.161401,0,2014
2005,18,0.1631639,0,2014
2006,18,0.0514206,0,2014
2007,18,0.3540692,0,2014
2008,18,0.6261865,0,2014
2009,18,0.0130187,0,2014
2010,18,0.2059438,0,2014
2011,18,0.0288797,0,2014
2012,18,-0.2630836,0,2014
2013,18,0.2071973,0,2014
2014,18,0.6261865,1,2014
2015,18,0.0963071,1,2014
2016,18,0.0636734,1,2014
2017,18,0.0667289,1,2014
2018,18,0.0199219,1,2014
2004,19,0.114363,0,2015
2005,19,0.2803599,0,2015
2006,19,0.0567818,0,2015
2007,19,0.1218507,0,2015
2008,19,0.1578154,0,2015
2009,19,0.2056793,0,2015
2010,19,-0.0663093,0,2015
2011,19,0.03711,0,2015
2012,19,0.1892959,0,2015
2013,19,-0.0087822,0,2015
2014,19,0.1724761,0,2015
2015,19,0.1373668,1,2015
2016,19,0.0808399,1,2015
2017,19,0.3261662,1,2015
2018,19,-0.0895682,1,2015
2004,20,0.1141358,0,2015
2005,20,0.1035004,0,2015
2006,20,0.0424813,0,2015
2007,20,0.0022255,0,2015
2008,20,0.3100204,0,2015
2009,20,0.0309498,0,2015
2010,20,0.1072479,0,2015
2011,20,0.0141069,0,2015
2012,20,0.0040331,0,2015
2013,20,0.1189409,0,2015
2014,20,-0.0337079,0,2015
2015,20,0.6261865,1,2015
2016,20,0.1087462,1,2015
2017,20,0.1167746,1,2015
2018,20,0.0463956,1,2015
2004,21,0.0874358,0,2015
2005,21,-0.0060161,0,2015
2006,21,0.0718328,0,2015
2007,21,0.0850227,0,2015
2008,21,0.1626362,0,2015
2009,21,0.1285531,0,2015
2010,21,0.0131355,0,2015
2011,21,0.0008678,0,2015
2012,21,0.001669,0,2015
2013,21,-0.0254418,0,2015
2014,21,0.1680291,0,2015
2015,21,0.6261865,1,2015
2016,21,-0.0320163,1,2015
2017,21,0.1253884,1,2015
2018,21,-0.095746,1,2015
2004,22,0.0909676,0,2014
2005,22,-0.0279617,0,2014
2006,22,0.111541,0,2014
2007,22,0.0144879,0,2014
2008,22,0.1372549,0,2014
2009,22,-0.1087126,0,2014
2010,22,0.1300199,0,2014
2011,22,0.3916564,0,2014
2012,22,0.2485926,0,2014
2013,22,0.1621901,0,2014
2014,22,0.0465185,1,2014
2015,22,-0.047869,1,2014
2016,22,0.0502756,1,2014
2017,22,0.0027864,1,2014
2018,22,0.1627665,1,2014
2004,23,0.0931868,0,2015
2005,23,0.003532,0,2015
2006,23,0.2129725,0,2015
2007,23,0.1235777,0,2015
2008,23,0.0006944,0,2015
2009,23,0.4423827,0,2015
2010,23,0.0735676,0,2015
2011,23,-0.0126882,0,2015
2012,23,-0.0269825,0,2015
2013,23,-0.0723222,0,2015
2014,23,-0.1186441,0,2015
2015,23,-0.1089744,1,2015
2016,23,0.0215827,1,2015
2017,23,0.6261865,1,2015
2018,23,0.1397306,1,2015
2004,24,-0.0388906,0,2015
2005,24,-0.0715209,0,2015
2006,24,0.0007384,0,2015
2007,24,0.0120591,0,2015
2008,24,0.094945,0,2015
2009,24,-0.0002186,0,2015
2010,24,-0.0721047,0,2015
2011,24,0.0253182,0,2015
2012,24,-0.2630836,0,2015
2013,24,-0.0414494,0,2015
2014,24,-0.0388906,0,2015
2015,24,-0.0388906,1,2015
2016,24,-0.0388906,1,2015
2017,24,-0.0388906,1,2015
2018,24,-0.0735895,1,2015
2004,25,0.0891021,0,2013
2005,25,-0.0004581,0,2013
2006,25,0.0181722,0,2013
2007,25,0.073347,0,2013
2008,25,-0.1095188,0,2013
2009,25,0.1938023,0,2013
2010,25,0.203903,0,2013
2011,25,0.3351831,0,2013
2012,25,-0.1390236,0,2013
2013,25,0.3469941,1,2013
2014,25,0.033767,1,2013
2015,25,0.0593742,1,2013
2016,25,0.0235505,1,2013
2017,25,0.0999676,1,2013
2018,25,0.1083694,1,2013
2004,26,0.0835533,0,2013
2005,26,-0.2630836,0,2013
2006,26,0.4590109,0,2013
2007,26,-0.1283327,0,2013
2008,26,-0.2630836,0,2013
2009,26,0.6261865,0,2013
2010,26,0.0169613,0,2013
2011,26,-0.2630836,0,2013
2012,26,0.1255132,0,2013
2013,26,-0.1797573,1,2013
2014,26,0.0889361,1,2013
2015,26,0.2147021,1,2013
2016,26,0.049548,1,2013
2017,26,0.0600426,1,2013
2018,26,0.6261865,1,2013
2004,27,-0.0121774,0,2015
2005,27,0.0580307,0,2015
2006,27,0.0673007,0,2015
2007,27,0.0298283,0,2015
2008,27,-0.2630836,0,2015
2009,27,0.2350361,0,2015
2010,27,0.0506619,0,2015
2011,27,-0.1665803,0,2015
2012,27,-0.0432094,0,2015
