year,cityid,g_private,reform,reformyear
2011,58,0.1174348,0,2014
2012,58,0.088634,0,2014
2013,58,0.2424155,0,2014
2014,58,0.0056076,1,2014
2015,58,0.0390959,1,2014
2016,58,0.2022325,1,2014
2017,58,0.0876334,1,2014
2018,58,-0.2630836,1,2014
2004,59,0.1055163,0,2015
2005,59,0.2160985,0,2015
2006,59,0.0862965,0,2015
2007,59,0.0471577,0,2015
2008,59,0.2078895,0,2015
2009,59,-0.0760005,0,2015
2010,59,0.1927726,0,2015
2011,59,0.0474727,0,2015
2012,59,0.1754183,0,2015
2013,59,0.1183416,0,2015
2014,59,0.0795618,0,2015
2015,59,0.301179,1,2015
2016,59,-0.237195,1,2015
2017,59,0.1236458,1,2015
2018,59,0.1945903,1,2015
2004,60,0.1332535,0,2014
2005,60,-0.1090016,0,2014
2006,60,0.5530843,0,2014
2007,60,0.0890945,0,2014
2008,60,0.243837,0,2014
2009,60,-0.0760005,0,2014
2010,60,0.1927726,0,2014
2011,60,0.0474727,0,2014
2012,60,0.1754183,0,2014
2013,60,0.1183416,0,2014
2014,60,0.0795618,1,2014
2015,60,0.0420895,1,2014
2016,60,0.1234162,1,2014
2017,60,0.2522092,1,2014
2018,60,0.1332535,1,2014
2004,61,0.1175265,0,2014
2005,61,0.019535,0,2014
2006,61,0.0495819,0,2014
2007,61,0.3071169,0,2014
2008,61,0.0038076,0,2014
2009,61,0.2507814,0,2014
2010,61,0.1872715,0,2014
2011,61,0.1042146,0,2014
2012,61,0.1754183,0,2014
2013,61,0.1183416,0,2014
2014,61,0.0795618,1,2014
2015,61,0.301179,1,2014
2016,61,-0.06424,1,2014
2017,61,0.203985,1,2014
2018,61,-0.0911831,1,2014
2004,62,0.1277948,0,2014
2005,62,0.0162244,0,2014
2006,62,0.2256552,0,2014
2007,62,0.0209829,0,2014
2008,62,0.1203657,0,2014
2009,62,0.2206468,0,2014
2010,62,-0.0809004,0,2014
2011,62,0.0645005,0,2014
2012,62,-0.0904328,0,2014
2013,62,0.4708014,0,2014
2014,62,0.1661732,1,2014
2015,62,0.1184436,1,2014
2016,62,0.2028204,1,2014
2017,62,0.2060521,1,2014
2018,62,0.1277948,1,2014
2004,63,0.1962294,0,2015
2005,63,0.0957831,0,2015
2006,63,0.6261865,0,2015
2007,63,0.0436528,0,2015
2008,63,0.495488,0,2015
2009,63,0.0009921,0,2015
2010,63,-0.0064792,0,2015
2011,63,0.1747023,0,2015
2012,63,0.2328092,0,2015
2013,63,-0.0051662,0,2015
2014,63,0.1140073,0,2015
2015,63,0.0548696,1,2015
2016,63,0.0512289,1,2015
2017,63,0.2429504,1,2015
2018,63,0.6261865,1,2015
2004,64,0.1198218,0,2014
2005,64,-0.1259156,0,2014
2006,64,0.1310457,0,2014
2007,64,0.3494156,0,2014
2008,64,0.0835834,0,2014
2009,64,0.0820954,0,2014
2010,64,0.2386331,0,2014
2011,64,0.0033874,0,2014
2012,64,0.1105401,0,2014
2013,64,0.146314,0,2014
2014,64,0.3226131,1,2014
2015,64,0.256464,1,2014
2016,64,0.1086627,1,2014
2017,64,0.0127257,1,2014
2018,64,-0.0420588,1,2014
2004,65,0.1379896,0,2014
2005,65,0.0420089,0,2014
2006,65,0.6171154,0,2014
2007,65,0.1774599,0,2014
2008,65,-0.0275813,0,2014
2009,65,0.0519659,0,2014
2010,65,0.11985,0,2014
2011,65,0.0954532,0,2014
2012,65,0.0878521,0,2014
2013,65,0.1085366,0,2014
2014,65,0.2564558,1,2014
2015,65,0.3541758,1,2014
2016,65,-0.06424,1,2014
2017,65,0.203985,1,2014
2018,65,-0.0911831,1,2014
2004,66,0.0849097,0,2013
2005,66,-0.2630836,0,2013
2006,66,0.1401904,0,2013
2007,66,0.4035337,0,2013
2008,66,0.0779388,0,2013
2009,66,0.0787088,0,2013
2010,66,0.021832,0,2013
2011,66,0.0789203,0,2013
2012,66,0.0213122,0,2013
2013,66,-0.0527774,1,2013
2014,66,0.082039,1,2013
2015,66,0.143838,1,2013
2016,66,0.162209,1,2013
2017,66,0.5341991,1,2013
2018,66,-0.2401249,1,2013
2004,67,0.0831436,0,2014
2005,67,-0.0234045,0,2014
2006,67,-0.2193443,0,2014
2007,67,0.2426203,0,2014
2008,67,0.1096135,0,2014
2009,67,0.1186116,0,2014
2010,67,0.0916128,0,2014
2011,67,0.1057122,0,2014
2012,67,0.0914151,0,2014
2013,67,0.1378737,0,2014
2014,67,0.129248,1,2014
2015,67,0.1673507,1,2014
2016,67,-0.0277956,1,2014
2017,67,0.2353,1,2014
2018,67,0.005197,1,2014
2004,68,0.1136593,0,2014
2005,68,0.007206,0,2014
2006,68,0.0013772,0,2014
2007,68,0.1136593,0,2014
2008,68,0.1136593,0,2014
2009,68,-0.0158328,0,2014
2010,68,0.0910939,0,2014
2011,68,0.0745712,0,2014
2012,68,0.2430406,0,2014
2013,68,0.2610141,0,2014
2014,68,0.2487981,1,2014
2015,68,0.3281986,1,2014
2016,68,0.1404838,1,2014
2017,68,-0.1296982,1,2014
2018,68,0.1136593,1,2014
2004,69,0.0794445,0,2015
2005,69,0.0794445,0,2015
2006,69,0.0794445,0,2015
2007,69,0.0794445,0,2015
2008,69,0.0101754,0,2015
2009,69,0.0374384,0,2015
2010,69,-0.1200121,0,2015
2011,69,0.4609965,0,2015
2012,69,0.0117136,0,2015
2013,69,0.2426521,0,2015
2014,69,0.0053883,0,2015
2015,69,0.3239086,1,2015
2016,69,-0.0088018,1,2015
2017,69,0.170082,1,2015
2018,69,-0.2596518,1,2015
2004,70,0.1251474,0,2013
2005,70,-0.0964404,0,2013
2006,70,-0.0227279,0,2013
2007,70,-0.244979,0,2013
2008,70,0.6261865,0,2013
2009,70,0.0528439,0,2013
2010,70,0.4838963,0,2013
2011,70,0.0059452,0,2013
2012,70,-0.1204932,0,2013
2013,70,0.6261865,1,2013
2014,70,0.1251474,1,2013
2015,70,0.1251474,1,2013
2016,70,0.1583474,1,2013
2017,70,0.009527,1,2013
2018,70,0.0234759,1,2013
2004,71,0.2436514,0,2015
2005,71,0.4993264,0,2015
2006,71,0.1862238,0,2015
2007,71,0.2721051,0,2015
2008,71,0.6261865,0,2015
2009,71,-0.2630836,0,2015
2010,71,0.5339599,0,2015
2011,71,-0.070692,0,2015
2012,71,0.3281953,0,2015
2013,71,-0.1109727,0,2015
2014,71,-0.0700018,0,2015
2015,71,0.366384,1,2015
2016,71,0.2436514,1,2015
2017,71,0.2436514,1,2015
2018,71,0.6261865,1,2015
2004,72,0.1044554,0,2014
2005,72,0.1199414,0,2014
2006,72,0.1243652,0,2014
2007,72,0.2050143,0,2014
2008,72,-0.2630836,0,2014
2009,72,0.3419714,0,2014
2010,72,-0.1726311,0,2014
2011,72,0.1433575,0,2014
2012,72,-0.223985,0,2014
2013,72,0.4275655,0,2014
2014,72,0.3531688,1,2014
2015,72,-0.2220735,1,2014
2016,72,0.482759,1,2014
2017,72,0.2650258,1,2014
2018,72,-0.1190202,1,2014
2004,73,0.1520318,0,2014
2005,73,0.1785247,0,2014
2006,73,0.1691929,0,2014
2007,73,0.1571033,0,2014
2008,73,0.4046375,0,2014
2009,73,0.0226142,0,2014
2010,73,0.1683508,0,2014
2011,73,0.0237369,0,2014
2012,73,0.0032885,0,2014
2013,73,0.6261865,0,2014
2014,73,0.486022,1,2014
2015,73,0.1432545,1,2014
2016,73,0.0123991,1,2014
2017,73,-0.0655419,1,2014
2018,73,-0.2013242,1,2014
2004,74,0.0885546,0,2012
2005,74,0.1582571,0,2012
2006,74,-0.1160915,0,2012
2007,74,0.3670717,0,2012
2008,74,0.1486293,0,2012
2009,74,0.1119128,0,2012
2010,74,0.0281819,0,2012
2011,74,-0.1346683,0,2012
2012,74,0.2322084,1,2012
2013,74,0.1844075,1,2012
2014,74,0.0722622,1,2012
2015,74,0.2485776,1,2012
2016,74,0.0535946,1,2012
2017,74,0.1485043,1,2012
2018,74,-0.2630836,1,2012
2004,75,0.0983721,0,2014
2005,75,-0.249956,0,2014
2006,75,0.1583167,0,2014
2007,75,0.0679842,0,2014
2008,75,0.1224109,0,2014
2009,75,-0.2630836,0,2014
2010,75,0.3809647,0,2014
2011,75,-0.0557897,0,2014
2012,75,0.0881537,0,2014
2013,75,0.1645974,0,2014
2014,75,0.362923,1,2014
2015,75,0.0449374,1,2014
2016,75,0.5367374,1,2014
2017,75,0.2820974,1,2014
2018,75,-0.2630836,1,2014
2004,76,-0.0266842,0,2014
2005,76,-0.0266842,0,2014
2006,76,0.0962209,0,2014
2007,76,-0.0266842,0,2014
2008,76,0.063998,0,2014
2009,76,-0.0266842,0,2014
2010,76,-0.2630836,0,2014
2011,76,-0.1066885,0,2014
2012,76,-0.11822,0,2014
2013,76,0.1767114,0,2014
2014,76,-0.0006609,1,2014
2015,76,-0.0617507,1,2014
2016,76,-0.0266842,1,2014
2017,76,-0.0266842,1,2014
2018,76,-0.0266842,1,2014
2004,77,0.1169442,0,2014
2005,77,0.1193201,0,2014
2006,77,0.0733907,0,2014
2007,77,-0.0787755,0,2014
2008,77,-0.0690496,0,2014
2009,77,-0.0347387,0,2014
2010,77,0.3601719,0,2014
2011,77,0.2371134,0,2014
2012,77,0.1797631,0,2014
2013,77,0.1688349,0,2014
2014,77,0.2742857,1,2014
2015,77,0.0734556,1,2014
2016,77,0.1276527,1,2014
2017,77,0.1269579,1,2014
2018,77,0.0788371,1,2014
2004,78,0.1130052,0,2014
2005,78,0.1533642,0,2014
2006,78,0.1003674,0,2014
2007,78,0.6261865,0,2014
2008,78,0.0525229,0,2014
2009,78,0.0513123,0,2014
2010,78,0.1189221,0,2014
2011,78,0.0210131,0,2014
2012,78,0.0936756,0,2014
2013,78,0.4018211,0,2014
2014,78,0.1314057,1,2014
2015,78,0.0867235,1,2014
2016,78,-0.0989713,1,2014
2017,78,0.0845183,1,2014
2018,78,-0.240788,1,2014
2004,79,0.1726477,0,2015
2005,79,0.6261865,0,2015
2006,79,0.1583027,0,2015
2007,79,-0.2630836,0,2015
2008,79,0.0519124,0,2015
2009,79,-0.0171932,0,2015
2010,79,0.1407555,0,2015
2011,79,0.4167758,0,2015
2012,79,0.0716986,0,2015
2013,79,0.2738295,0,2015
2014,79,0.2555781,0,2015
2015,79,0.5338328,1,2015
2016,79,0.2170503,1,2015
2017,79,0.2145058,1,2015
2018,79,-0.2630836,1,2015
2004,80,0.1594526,0,2014
2005,80,0.1594526,0,2014
2006,80,0.1594526,0,2014
2007,80,0.0769915,0,2014
2008,80,-0.2009556,0,2014
2009,80,0.6261865,0,2014
2010,80,0.2408795,0,2014
2011,80,-0.00156,0,2014
2012,80,-0.0984908,0,2014
2013,80,0.1427265,0,2014
2014,80,0.5944445,1,2014
2015,80,0.583892,1,2014
2016,80,-0.1150036,1,2014
2017,80,0.0191425,1,2014
2018,80,0.045178,1,2014
2004,81,0.065263,0,2015
2005,81,-0.0234842,0,2015
2006,81,0.030885,0,2015
2007,81,-0.2630836,0,2015
2008,81,-0.2140379,0,2015
2009,81,0.0345447,0,2015
2010,81,0.0456532,0,2015
2011,81,0.6261865,0,2015
2012,81,-0.0354331,0,2015
2013,81,0.1306122,0,2015
2014,81,0.0361733,0,2015
2015,81,0,1,2015
2016,81,0,1,2015
2017,81,-0.0805205,1,2015
2018,81,0.6261865,1,2015
2004,82,0.1588558,0,2014
2005,82,-0.2456914,0,2014
2006,82,0.6261865,0,2014
2007,82,-0.0195937,0,2014
2008,82,0.102037,0,2014
2009,82,0.1471935,0,2014
2010,82,0.6261865,0,2014
2011,82,-0.0515313,0,2014
2012,82,0.0798056,0,2014
2013,82,0.1588558,0,2014
2014,82,0.1588558,1,2014
2015,82,-0.2630836,1,2014
2016,82,0.6261865,1,2014
2017,82,-0.0234095,1,2014
2018,82,0.3019831,1,2014
2004,83,0.1267442,0,2015
2005,83,0.1088672,0,2015
2006,83,0.2476345,0,2015
2007,83,0.6261865,0,2015
2008,83,0.1267442,0,2015
2009,83,0.1267442,0,2015
2010,83,0.1267442,0,2015
2011,83,-0.0611202,0,2015
2012,83,-0.1348324,0,2015
2013,83,0.3910481,0,2015
2014,83,0.1080925,0,2015
2015,83,0.1267442,1,2015
2016,83,0.1267442,1,2015
2017,83,0.1179057,1,2015
2018,83,-0.2630836,1,2015
2004,84,0.0768189,0,2014
2005,84,0.0845309,0,2014
2006,84,0.12159,0,2014
2007,84,0.0034746,0,2014
2008,84,0.0009557,0,2014
2009,84,-0.0205759,0,2014
2010,84,0.0768189,0,2014
2011,84,-0.0566357,0,2014
2012,84,0.0768189,0,2014
2013,84,0.0768189,0,2014
2014,84,0.2688206,1,2014
2015,84,0.0075241,1,2014
2016,84,0.3103682,1,2014
2017,84,0.3880386,1,2014
2018,84,-0.2630836,1,2014
2004,85,0.1178287,0,2014
2005,85,0.0993667,0,2014
2006,85,0.2224872,0,2014
2007,85,-0.0345219,0,2014
2008,85,0.0609668,0,2014
2009,85,-0.0145952,0,2014
2010,85,0.1546339,0,2014
2011,85,0.1292223,0,2014
2012,85,0.1622334,0,2014
2013,85,0.0994743,0,2014
2014,85,0.1176551,1,2014
2015,85,0.1654205,1,2014
2016,85,0.1933966,1,2014
2017,85,0.1529951,1,2014
2018,85,0.1408672,1,2014
2004,86,0.2079713,0,2013
2005,86,0.0697321,0,2013
2006,86,0.3632123,0,2013
2007,86,0.268263,0,2013
2008,86,0.2652758,0,2013
2009,86,0.1952247,0,2013
2010,86,-0.2630836,0,2013
2011,86,0.6261865,0,2013
2012,86,0.2108428,0,2013
2013,86,-0.1883127,1,2013
2014,86,0.1068133,1,2013
2015,86,0.6261865,1,2013
2016,86,0.2162476,1,2013
2017,86,0.1760929,1,2013
2018,86,0.2389167,1,2013
2004,87,0.1430786,0,2012
2005,87,0.1759001,0,2012
2006,87,0.3005413,0,2012
2007,87,0.3332541,0,2012
2008,87,-0.1206845,0,2012
2009,87,0.1169692,0,2012
2010,87,0.1871485,0,2012
2011,87,0.0958986,0,2012
2012,87,0.1353819,1,2012
2013,87,0.0917337,1,2012
2014,87,0.1034422,1,2012
2015,87,0.152459,1,2012
2016,87,0.1780932,1,2012
2017,87,0.1354814,1,2012
2018,87,0.117481,1,2012
2004,88,0.1128036,0,2014
2005,88,0.1027009,0,2014
2006,88,-0.2630836,0,2014
2007,88,0.3449555,0,2014
2008,88,0.0830539,0,2014
2009,88,-0.0057037,0,2014
2010,88,0.1406619,0,2014
2011,88,0.2164146,0,2014
2012,88,0.1462449,0,2014
2013,88,0.1721245,0,2014
2014,88,0.0703841,1,2014
2015,88,0.1935012,1,2014
2016,88,0.1384803,1,2014
2017,88,0.1232551,1,2014
2018,88,0.1162616,1,2014
2004,89,0.1393892,0,2014
2005,89,0.1516652,0,2014
2006,89,0.0831271,0,2014
2007,89,-0.2630836,0,2014
2008,89,0.1864875,0,2014
2009,89,0.1459389,0,2014
2010,89,0.2505653,0,2014
2011,89,0.2051355,0,2014
2012,89,0.1474445,0,2014
2013,89,0.1410476,0,2014
2014,89,0.172523,1,2014
2015,89,0.012814,1,2014
2016,89,0.1995918,1,2014
2017,89,0.3608481,1,2014
2018,89,0.1573442,1,2014
2004,90,0.1075747,0,2013
2005,90,-0.0246823,0,2013
2006,90,-0.2385897,0,2013
2007,90,-0.0243321,0,2013
2008,90,0.279515,0,2013
2009,90,0.0272952,0,2013
2010,90,0.3057022,0,2013
2011,90,0.0963153,0,2013
2012,90,0.1315321,0,2013
2013,90,0.1257138,1,2013
2014,90,0.211595,1,2013
2015,90,0.1159214,1,2013
2016,90,0.2019778,1,2013
2017,90,0.1655606,1,2013
2018,90,0.1325221,1,2013
2004,91,0.1176183,0,2012
2005,91,0.0675975,0,2012
2006,91,0.2886082,0,2012
2007,91,0.1164271,0,2012
2008,91,0.15421,0,2012
2009,91,0.1215232,0,2012
2010,91,0.0851684,0,2012
2011,91,0.2275536,0,2012
2012,91,0.111578,1,2012
2013,91,0.1087611,1,2012
2014,91,0.1562266,1,2012
2015,91,0.1988437,1,2012
2016,91,0.2185296,1,2012
2017,91,-0.1598167,1,2012
2018,91,-0.0485538,1,2012
2004,92,0.1625404,0,2014
2005,92,0.0690939,0,2014
2006,92,0.1035361,0,2014
2007,92,0.1378936,0,2014
2008,92,0.1191124,0,2014
2009,92,0.182705,0,2014
2010,92,0.2403425,0,2014
2011,92,0.3242502,0,2014
2012,92,0.2519977,0,2014
2013,92,0.0706066,0,2014
2014,92,0.265284,1,2014
2015,92,0.1187402,1,2014
2016,92,0.342991,1,2014
2017,92,0.1628067,1,2014
2018,92,-0.1137944,1,2014
2004,93,0.1312203,0,2017
2005,93,0.2325407,0,2017
2006,93,0.2859423,0,2017
2007,93,0.0932784,0,2017
2008,93,-0.0975527,0,2017
2009,93,-0.2630836,0,2017
2010,93,0.6261865,0,2017
2011,93,0.1445085,0,2017
2012,93,0.0466612,0,2017
2013,93,-0.0208169,0,2017
2014,93,0.0514904,0,2017
2015,93,0.0378245,0,2017
2016,93,0.0879226,0,2017
2017,93,0.6261865,1,2017
2018,93,-0.0140046,1,2017
2004,94,0.0944941,0,2015
2005,94,0.2257732,0,2015
2006,94,-0.1110177,0,2015
2007,94,0.128666,0,2015
2008,94,0.0888516,0,2015
2009,94,0.1100847,0,2015
2010,94,-0.0423024,0,2015
2011,94,0.404055,0,2015
2012,94,0.0154719,0,2015
2013,94,-0.1782631,0,2015
2014,94,0.1266996,0,2015
2015,94,0,1,2015
2016,94,0.4015359,1,2015
2017,94,-0.0009706,1,2015
2018,94,0.1543338,1,2015
2004,95,0.0966054,0,2015
2005,95,0.2497542,0,2015
2006,95,0.2000667,0,2015
2007,95,0.1188377,0,2015
2008,95,0.0591313,0,2015
2009,95,0.0370788,0,2015
2010,95,0.3638101,0,2015
2011,95,0,0,2015
2012,95,0.1793285,0,2015
2013,95,-0.2630836,0,2015
2014,95,0.1643555,0,2015
2015,95,0.1577916,1,2015
2016,95,-0.0141349,1,2015
2017,95,0.0483114,1,2015
2018,95,0.0512281,1,2015
2004,96,0.1171288,0,2015
2005,96,0.1606348,0,2015
2006,96,0.2793767,0,2015
2007,96,-0.2546344,0,2015
2008,96,0.6261865,0,2015
2009,96,0.0442033,0,2015
2010,96,0.167639,0,2015
2011,96,0.2853106,0,2015
2012,96,0.1173775,0,2015
2013,96,-0.0011964,0,2015
2014,96,-0.1568401,0,2015
2015,96,0.0089817,1,2015
2016,96,0.1334805,1,2015
2017,96,0.0982072,1,2015
2018,96,0.1310761,1,2015
2004,97,0.1220268,0,2016
2005,97,0.2219275,0,2016
2006,97,-0.2630836,0,2016
2007,97,0.3354967,0,2016
2008,97,-0.092532,0,2016
2009,97,0.0577596,0,2016
2010,97,0.1678635,0,2016
2011,97,0.6261865,0,2016
2012,97,-0.1457538,0,2016
2013,97,0.3635941,0,2016
2014,97,0.6261865,0,2016
2015,97,-0.1761073,0,2016
2016,97,0.0431395,1,2016
2017,97,-0.2439684,1,2016
2018,97,0.1876672,1,2016
2004,98,0.1092581,0,2015
2005,98,-0.1343226,0,2015
2006,98,0.1611907,0,2015
2007,98,0.0101244,0,2015
2008,98,0.3775547,0,2015
2009,98,0.0228642,0,2015
2010,98,0.2060264,0,2015
2011,98,0.1308126,0,2015
2012,98,0.0693498,0,2015
2013,98,0.0217582,0,2015
2014,98,0.1704725,0,2015
2015,98,0.0395254,1,2015
2016,98,-0.1700028,1,2015
2017,98,0.4421609,1,2015
2018,98,0.1820991,1,2015
2004,99,0.1342958,0,2016
2005,99,0.0663611,0,2016
2006,99,0.133286,0,2016
2007,99,0.0892873,0,2016
2008,99,0.0618755,0,2016
2009,99,0.1932073,0,2016
2010,99,0.2280222,0,2016
2011,99,-0.2630836,0,2016
2012,99,0.1191187,0,2016
2013,99,0.0805806,0,2016
2014,99,0.1069044,0,2016
2015,99,0.0621668,0,2016
2016,99,-0.249958,1,2016
2017,99,0.6261865,1,2016
2018,99,0.6261865,1,2016
2004,100,0.1165506,0,2016
2005,100,0.0153411,0,2016
2006,100,0.3127604,0,2016
2007,100,0.049849,0,2016
2008,100,0.1007106,0,2016
2009,100,0.0039428,0,2016
2010,100,0.3895525,0,2016
2011,100,-0.2630836,0,2016
2012,100,0.3336785,0,2016
2013,100,0.6261865,0,2016
2014,100,0.1941831,0,2016
2015,100,0.1708503,0,2016
2016,100,-0.0176464,1,2016
2017,100,-0.2630836,1,2016
2018,100,-0.0215332,1,2016
2004,101,0.219029,0,2015
2005,101,0.1171583,0,2015
2006,101,-0.0052056,0,2015
2007,101,0.1182778,0,2015
2008,101,0.1083366,0,2015
2009,101,0.1000469,0,2015
2010,101,0.219029,0,2015
2011,101,0.219029,0,2015
2012,101,-0.1542873,0,2015
2013,101,0.6261865,0,2015
2014,101,0.2896302,0,2015
2015,101,0.2899989,1,2015
2016,101,0.5216122,1,2015
2017,101,-0.0095933,1,2015
2018,101,0.6261865,1,2015
2004,102,0.0900458,0,2017
2005,102,0.1605819,0,2017
2006,102,0.012,0,2017
2007,102,0.3071837,0,2017
2008,102,0.08,0,2017
2009,102,0.0403202,0,2017
2010,102,0.238959,0,2017
2011,102,0.1274717,0,2017
2012,102,0.1049517,0,2017
2013,102,0.2268924,0,2017
2014,102,0.111275,0,2017
2015,102,0.030255,0,2017
2016,102,-0.0319215,0,2017
2017,102,-0.0204767,1,2017
2018,102,-0.1268507,1,2017
2004,103,0.1244673,0,2015
2005,103,-0.2630836,0,2015
2006,103,0.6261865,0,2015
2007,103,0.0420277,0,2015
2008,103,-0.2630836,0,2015
2009,103,0.3517237,0,2015
2010,103,0.1244673,0,2015
2011,103,-0.0962924,0,2015
2012,103,0.1244673,0,2015
2013,103,0.4423868,0,2015
2014,103,-0.0838313,0,2015
2015,103,0.0274399,1,2015
2016,103,0.5412427,1,2015
2017,103,0.0549333,1,2015
2018,103,0.1139577,1,2015
2004,104,0.1260254,0,2014
2005,104,0.5480571,0,2014
2006,104,0.0862965,0,2014
2007,104,0.0101996,0,2014
2008,104,0.25208,0,2014
2009,104,-0.0760005,0,2014
2010,104,0.1927726,0,2014
2011,104,-0.0891285,0,2014
2012,104,0.0443308,0,2014
2013,104,0.2469837,0,2014
2014,104,0.0136737,1,2014
2015,104,0.0733004,1,2014
2016,104,0.1926161,1,2014
2017,104,0.1586531,1,2014
2018,104,0.1105205,1,2014
2004,105,0.1179536,0,2014
2005,105,0.2160985,0,2014
2006,105,0.0862965,0,2014
2007,105,-0.0354539,0,2014
2008,105,0.0654609,0,2014
2009,105,0.1372357,0,2014
2010,105,0.1927726,0,2014
2011,105,-0.0186137,0,2014
2012,105,0.1728442,0,2014
2013,105,0.1962703,0,2014
2014,105,0.0795618,1,2014
2015,105,0.301179,1,2014
2016,105,-0.06424,1,2014
2017,105,0.203985,1,2014
2018,105,0.1179536,1,2014
2004,106,0.0627149,0,2015
2005,106,0.147114,0,2015
2006,106,0.0563145,0,2015
2007,106,0.1210808,0,2015
2008,106,0.0032535,0,2015
2009,106,-0.1381946,0,2015
2010,106,0.0832936,0,2015
2011,106,0.2131131,0,2015
2012,106,0.0582117,0,2015
2013,106,0.2099352,0,2015
2014,106,0.0694932,0,2015
2015,106,0.1224266,1,2015
2016,106,-0.1216898,1,2015
2017,106,0.0332973,1,2015
2018,106,0.0203598,1,2015
2004,107,0.0478829,0,2014
2005,107,0.0477497,0,2014
2006,107,-0.0574644,0,2014
2007,107,-0.0784245,0,2014
2008,107,-0.1741361,0,2014
2009,107,0.1519275,0,2014
2010,107,0.6261865,0,2014
2011,107,0.152894,0,2014
2012,107,0.0491863,0,2014
2013,107,-0.2630836,0,2014
2014,107,0.2333793,1,2014
2015,107,0.034253,1,2014
2016,107,0.0119672,1,2014
2017,107,-0.0584672,1,2014
2018,107,-0.0056065,1,2014
2004,108,0.0677338,0,2014
2005,108,0.103872,0,2014
2006,108,0.0448876,0,2014
2007,108,0.1048984,0,2014
2008,108,0.0465328,0,2014
2009,108,-0.0387777,0,2014
2010,108,0.099049,0,2014
2011,108,0.0564441,0,2014
2012,108,0.1140917,0,2014
2013,108,0.0728767,0,2014
2014,108,0.1838112,1,2014
2015,108,0.0651905,1,2014
2016,108,0.0798135,1,2014
2017,108,0.0219096,1,2014
2018,108,-0.006326,1,2014
2004,109,0.138304,0,2014
2005,109,0.1450062,0,2014
2006,109,0.1024669,0,2014
2007,109,0.1641539,0,2014
2008,109,0.1842607,0,2014
2009,109,0.1617973,0,2014
2010,109,0.1256287,0,2014
2011,109,0.6261865,0,2014
2012,109,-0.2630836,0,2014
2013,109,-0.22825,0,2014
2014,109,0.0138539,1,2014
2015,109,0.6261865,1,2014
2016,109,-0.06424,1,2014
2017,109,0.203985,1,2014
2018,109,0.138304,1,2014
2004,110,0.0760569,0,2015
2005,110,0.3232266,0,2015
2006,110,0.1548199,0,2015
2007,110,0.0715998,0,2015
2008,110,-0.1766786,0,2015
2009,110,0.0108973,0,2015
2010,110,0.1797156,0,2015
2011,110,0.1518208,0,2015
2012,110,0.0200136,0,2015
2013,110,0.1401831,0,2015
2014,110,-0.0455962,0,2015
2015,110,-0.0167503,1,2015
2016,110,0.0261876,1,2015
2017,110,0.1629253,1,2015
2018,110,0.0624321,1,2015
2004,111,0.1757738,0,2017
2005,111,0.2078979,0,2017
2006,111,0.1054643,0,2017
2007,111,0.0819882,0,2017
2008,111,-0.2630836,0,2017
2009,111,0.0973323,0,2017
2010,111,0.4906927,0,2017
2011,111,0.2693733,0,2017
2012,111,0.0556999,0,2017
2013,111,0.2931932,0,2017
2014,111,0.6261865,0,2017
2015,111,0.1660369,0,2017
2016,111,0.0540359,0,2017
2017,111,0.1757738,1,2017
2018,111,0.1002418,1,2017
2004,112,0.0626594,0,2015
2005,112,0.026435,0,2015
2006,112,0.1705051,0,2015
2007,112,0.6238005,0,2015
2008,112,-0.2630836,0,2015
2009,112,-0.0895858,0,2015
2010,112,0.0555732,0,2015
2011,112,0.1551825,0,2015
2012,112,0.0712466,0,2015
2013,112,0.0275304,0,2015
2014,112,0.0110159,0,2015
2015,112,0.0353117,1,2015
2016,112,0.0393522,1,2015
2017,112,-0.0019527,1,2015
2018,112,0.0159003,1,2015
2004,113,0.0963156,0,2016
2005,113,-0.0195277,0,2016
2006,113,0.2711404,0,2016
2007,113,0.6261865,0,2016
2008,113,-0.2630836,0,2016
2009,113,0.2147161,0,2016
2010,113,0.3238568,0,2016
2011,113,0.1055487,0,2016
2012,113,0.1891546,0,2016
2013,113,-0.2630836,0,2016
2014,113,0.2063531,0,2016
2015,113,-0.1401129,0,2016
2016,113,-0.0325716,1,2016
2017,113,0.0332205,1,2016
2018,113,0.0966213,1,2016
2004,114,0.0629828,0,2013
2005,114,0.0775616,0,2013
2006,114,0.1870392,0,2013
2007,114,0.0529961,0,2013
2008,114,-0.2388594,0,2013
2009,114,0.0601918,0,2013
2010,114,0.1747596,0,2013
2011,114,0.0244433,0,2013
2012,114,0.6261865,0,2013
2013,114,0.1807462,1,2013
2014,114,-0.2630836,1,2013
2015,114,-0.0512327,1,2013
2016,114,0.1759192,1,2013
2017,114,-0.1878911,1,2013
2018,114,0.0629828,1,2013
2004,115,0.058437,0,2014
2005,115,0.0946629,0,2014
2006,115,0.0728077,0,2014
2007,115,0.0529506,0,2014
2008,115,-0.2630836,0,2014
2009,115,0.2059291,0,2014
2010,115,0.2197384,0,2014
2011,115,0.0280011,0,2014
2012,115,0.6261865,0,2014
2013,115,0.0596617,0,2014
2014,115,0.1211656,1,2014
2015,115,-0.2630836,1,2014
2016,115,-0.0941354,1,2014
2017,115,0.059081,1,2014
2018,115,-0.1017634,1,2014
2004,116,0.0727428,0,2014
2005,116,-0.2630836,0,2014
2006,116,-0.1200487,0,2014
2007,116,0.1489078,0,2014
2008,116,-0.1313758,0,2014
2009,116,0.260806,0,2014
